"id","ultCot","cod","cotAtual","divYield","ultInsert","ultAt"
"1","2023-01-11","AESB3","9.4","0.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"2","2023-01-11","RAIL3","18.53","0.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"3","2023-01-06","DMMO3","1.76","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"4","2023-01-11","ELMD3","11.68","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"5","2023-01-11","HAPV3","4.6","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"6","2023-01-11","TPIS3","0.99","1.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"7","2023-01-11","YDUQ3","9.7","1.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"8","2023-01-11","ESPA3","1.54","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"9","2023-01-11","MGLU3","3.03","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"10","2022-10-20","MTIG4","23","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"11","2023-01-11","HBSA3","2.19","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"12","2023-01-11","ORVR3","35.04","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"13","2023-01-11","SMFT3","14.84","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"14","2023-01-10","CBEE3","12.92","0.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"15","2023-01-11","VIIA3","2.6","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"16","2023-01-11","AGXY3","9.74","1.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"17","2023-01-11","GFSA3","14.9","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"18","2023-01-11","AERI3","1.13","1.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"19","2023-01-11","DASA3","13.3","0.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"20","2023-01-11","ZAMP3","5.5","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"21","2023-01-11","AALR3","21.16","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"22","2023-01-11","LIGT3","4.77","5.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"23","2023-01-11","COGN3","2.24","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
